String / string group: ['re use', 'reuse', 're using', 'reusing']

titles
year;number of occurrences;corresponding docdb family IDs
2011;38;{44225408, 44318598, 44506246, 44195722, 42813327, 44860818, 44130583, 42710554, 43649179, 42040480, 44787748, 44903845, 44958118, 44341033, 44355246, 43900208, 44711738, 45032250, 44267196, 43446336, 44959680, 44195911, 43924679, 44130762, 43447755, 45371217, 44598614, 44174936, 44018661, 44067045, 44501741, 44759918, 43887729, 43534323, 42830068, 44216691, 45075959, 44563198}
2012;35;{45438081, 45927298, 45810322, 46145565, 46652205, 46315822, 46563760, 46382773, 47070773, 45420984, 47125049, 47423166, 45774142, 45496644, 46275914, 46563532, 45723085, 45594578, 46580947, 47088211, 47219667, 46894425, 43720025, 45869529, 46602201, 46672605, 47217245, 47217248, 48804066, 45975266, 47009135, 45892212, 47067383, 47259898, 46926335}
2013;36;{45445768, 48872968, 46982666, 48817160, 45094408, 48534797, 46650515, 49564564, 47909910, 48947101, 48742558, 48699169, 48962850, 46229297, 48051377, 47995132, 47563320, 45023544, 47715772, 47172549, 49772357, 47520842, 48605392, 47912149, 48043478, 49222486, 46851809, 47630055, 48534897, 49551221, 47614966, 47080184, 48904697, 47225979, 48437116, 49852287}
2014;41;{51387522, 51688970, 51850383, 50271505, 50685458, 52142355, 50828184, 51297050, 47598886, 51209767, 51689383, 51207209, 50545322, 51831206, 49913388, 50440234, 51299886, 49920681, 49515443, 51623356, 50973887, 51791555, 49474513, 51896018, 47425237, 49989850, 51387489, 50977892, 50278247, 49876712, 50626537, 50232553, 51164656, 51164658, 52141171, 51988082, 49896566, 49911288, 48917628, 50708477, 50977919}
2015;28;{49209218, 50639618, 53681803, 54700941, 50543634, 53878163, 51492371, 54801172, 54766360, 54391962, 54265883, 54245532, 53482144, 54556707, 53441573, 53180072, 52995753, 53782442, 53778363, 53523773, 54106948, 53681230, 53877583, 53053137, 51790823, 51987183, 50028913, 54239988}
2016;30;{55630593, 55630594, 58088450, 57713547, 53059344, 54476944, 57277842, 57503890, 56126998, 54256662, 57329689, 52595230, 54478113, 55065644, 55552304, 57166774, 57208889, 55263171, 55455683, 56163267, 56401480, 56234185, 55442634, 55857615, 55537233, 55065691, 55760094, 55300964, 55955186, 56923516}
2017;38;{61230851, 57685380, 59966341, 60325515, 60117262, 55646223, 58601490, 57989139, 57583641, 59963035, 59684893, 57608105, 56740266, 59964075, 59357230, 59147957, 60325814, 58422587, 58561983, 59851719, 57757384, 58461390, 59148114, 60329427, 58800212, 58693720, 59895643, 58694876, 56101598, 60412767, 57937505, 60382689, 58097000, 59088492, 59630192, 59997560, 58767481, 59118974}
2018;33;{64565633, 61129474, 61140225, 62598275, 64454152, 64405137, 60988960, 63676327, 61866411, 61563436, 61246384, 63106737, 65432112, 59399353, 62709566, 60409151, 61280450, 63676357, 63356872, 61070152, 62907340, 57233617, 62023127, 59858648, 63668064, 59388129, 64565602, 63594084, 63676518, 64659430, 61157223, 62190574, 63252734}
2019;56;{68056706, 60954754, 68057739, 65243660, 68059276, 66282510, 68863503, 65015833, 66071453, 63713695, 66189983, 63642529, 68383650, 61827492, 64267902, 67951023, 67623217, 68054706, 66297910, 64456887, 67468600, 59298232, 67687862, 67212475, 64940987, 68101311, 65010497, 68291523, 65361989, 66170439, 68616777, 68061898, 65527883, 64308557, 66951507, 60450773, 68386517, 68408919, 66243287, 65723735, 63080025, 67905241, 64048989, 67301469, 68060383, 62092001, 66631522, 65994465, 66111974, 68256238, 65864687, 66820463, 68062064, 66913018, 65232894, 65900543}



