"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2872170","2947512","3016258","3098941","3186388","3276473","3362125","3452897","3538304","3623057","3710277","3817139","3926976","4039625","4154411","4271921","4389696","4420346","4541910","4641200","4740335","4836943","4744735","4875374","5124797","4925697","5079096","5292227","5631098","5758760","5431077",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59921043","61471116","63402939","65350378","67372174","69481464","69628072","72075057","74041135","76472273","78497705","80429452","82988108","84689861","87252301","89731925","90815967","91962421","93487964","95330511","95237854","95060189","97603864","98900705","99937531","101600920","102513774","104268846","105542221","107461083","99843130",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136449","134951","137565","139632","141435","143737","142979","143800","144371","144799","145088","146300","147363","148314","150518","151214","151716","152209","152578","152774","152546","153286","151737","154227","150322","152371","154881","155139","155330","155468","147470",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110244","113836","117934","122291","126885","131766","136093","140808","145936","151413","157099","161019","164725","168676","172751","176834","179340","181974","184791","187882","191152","194891","198250","201354","204379","207468","209836","212578","219838","217006","217212",
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216710","217243","216471","215116","214298","214701","218652","224507","231857","240121","248856","257936","267638","277667","287728","297591","304865","311703","318301","325030","322201","320374","315286","325211","323964","348558","357654","366409","374905","383196","378371",
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","429353","445872","462215","478574","495150","512379","529480","547323","566855","578724","588730","608482","627324","645672","664432","684068","704214","735344","766681","796888","776253","843188","900419","950660","962483","978448","998929","1023248","1049399","1076493","1086713",
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1149531","1178328","1212743","1249676","1287693","1325638","1360270","1393493","1426873","1461080","1497549","1527454","1558087","1590917","1622310","1655140","1684062","1713562","1741897","1765288","1784396","1789002","1787280","1792313","1791293","1794829","1815143","1841908","1874453","1910933","1922667",
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14665673","14740811","14715110","14801560","14931217","15027741","15163603","15404364","15650715","15933282","16190365","16458479","16943201","17343484","17552499","17697127","17912331","18276042","18576392","18712292","18918726","19061288","19250224","19475966","19560730","19678725","19888520","20166002","20349922","20743970","20457473",
"Central Europe and the Baltics","CEB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52697486","52900911","52948721","52689714","52345845","51976385","51353139","51087647","50921311","50856090","50811463","50666511","49228526","48929127","48882432","48859119","48935004","48853751","48972334","49037953","49253787","48969451","49230059","49288035","49601473","49520899","49443860","49834305","49723400","49627305","49192548",
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3810153","3856628","3886031","3909559","3881108","3889042","3931851","3931900","3977054","3999625","3998130","4055917","4094212","4141641","4149456","4173059","4237497","4308347","4410305","4480663","4449903","4539303","4597342","4655858","4742868","4813685","4889972","4919832","4953968","4965077","4959300",
"Channel Islands","CHI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68483","68902","69145","69113","69249","69732","70367","70934","71599","72395","72870","74110","75334","76047","76293","76547","76799","77253","78675","80084","80746","80484","80934","81370","81911","82667","83373","84218","85068","85883","85427",
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5051917","5181860","5331182","5463294","5590491","5737009","5872970","6011564","6137490","6240044","6283604","6316344","6385548","6571339","6782121","6980730","7198955","7410923","7730994","7845879","8032733","8315950","8423914","8556192","8714053","8861045","9000803","9208789","9391888","9514561","8860151",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","641539565","650030011","660818499","672627879","683538070","692423739","705042238","713343974","719231395","725914219","734745332","738908733","745095910","752357567","758741112","763719669","768097158","771363502","773625799","774904798","775372805","778868116","783086506","786784708","789526606","791293488","792205319","792758868","791646536","789607035","775799016",
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4430749","4593511","4765600","4944056","5126115","5303770","5465061","5632240","5797956","5924345","6044602","6115839","6181555","6243371","6307018","6375397","6453206","6539486","6634610","6735766","6842720","6958690","7080482","7207321","7341136","7480189","7616769","7603548","7822369","8047578","8148084",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5257281","5411881","5571880","5740783","5910282","6086164","6257142","6434303","6619892","6812813","7014331","7213220","7419593","7633629","7856898","8092420","8325463","8570761","8633270","8677072","8703896","8963939","9232295","9509728","9797047","10091535","10391578","10703283","11023222","11351501","11483970",
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13393255","13902153","14473532","15077710","15646565","16171635","16612669","17034974","17437751","17873808","18365477","18870813","19416060","19998580","20615032","21267591","21595163","21946024","22311502","22679412","23054964","23377698","23708507","24480524","25282844","26129038","26995846","27896292","28829039","29801894","29797897",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","892053","919227","947748","978553","1011675","1044737","1078484","1115222","1152990","1193473","1233186","1272463","1312810","1356522","1402208","1450437","1503621","1562597","1621514","1679733","1735839","1783088","1827735","1871326","1913962","1960413","2013011","2068039","2124150","2182726","2150245",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14100132","14479755","14882802","15308323","15747848","16188119","16571539","16997117","17389551","17692384","18122165","18562289","18959988","19518085","19513046","19705003","19817287","19931023","20484028","21750089","22438334","23074243","23782561","24040660","24476296","25054594","25430737","25865153","26235986","26413532","24802460",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93934","97141","99881","102991","106622","109917","113492","116839","120450","124147","127464","131154","135019","139053","143246","148404","153634","159138","164923","170968","177285","183683","190310","197200","204264","210574","216518","222593","228821","235265","234861",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112177","114752","117745","121028","124507","128046","131118","134287","137533","140811","144162","148535","152779","157034","161553","166409","172045","177943","183996","189857","195403","200937","206242","211240","215941","220358","224648","228841","233492","237728","228079",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1175700","1204090","1221783","1275719","1325216","1389635","1387343","1485846","1571738","1609637","1623241","1731137","1767945","1816458","1829125","1942026","1977704","2049810","2083033","2106451","2107936","2123460","2294368","2316937","2343178","2338014","2273159","2336895","2445741","2568229","2444872",
