String / string group: ['circular economy']

titles
year;number of occurrences;corresponding docdb family IDs

abstracts
year;number of occurrences;corresponding docdb family IDs
2012;1;{45424723}



String / string group: ['re use', 'reuse', 're using', 'reusing']

titles
year;number of occurrences;corresponding docdb family IDs
2017;26;{59153280, 57485827, 60324744, 58601490, 58796189, 53498910, 59434151, 58988841, 58762286, 59275954, 58940723, 58764339, 59314233, 59832002, 59228611, 59148114, 59743830, 58762967, 58340312, 58797913, 59398751, 60382689, 59499367, 59115239, 59018476, 58950394}
2018;27;{61140225, 61129474, 64454152, 63971603, 63108376, 57909786, 63674268, 62110365, 64016815, 61246384, 63042223, 64105012, 60915254, 63096886, 63263673, 62955321, 62653500, 62106558, 61906114, 63918410, 62907340, 61256531, 63198164, 63925470, 64363500, 62751213, 64273150}
2019;45;{66631809, 66819970, 65900298, 66750603, 68059276, 66277773, 66282510, 68863503, 65051407, 68515085, 67991058, 65041299, 68616211, 65024023, 68727833, 66964507, 66189983, 68294309, 67218345, 65514795, 68856236, 66297910, 67009848, 65229882, 65655870, 68547008, 66673476, 66820940, 65799375, 61827664, 67686610, 68101076, 67619541, 65948886, 68850012, 68769117, 64798046, 67908577, 65001701, 68467560, 66120176, 65352305, 62091762, 65233142, 68119288}



String / string group: ['reduce', 'reducing']

titles
year;number of occurrences;corresponding docdb family IDs
2000;3;{22664610, 27337611, 18312277}
2001;7;{22654305, 8158890, 23384397, 23387348, 7921592, 20076538, 16978397}
2002;13;{24972514, 22893154, 24904079, 7682642, 19014164, 7673620, 18866966, 25278550, 18893974, 25074645, 20287066, 18728955, 50781020}
2003;6;{28674699, 29736077, 7692658, 25483634, 40428018, 34227261}
2004;6;{32468874, 31896270, 32868337, 31715284, 32802170, 32844667}
2005;5;{34069956, 34745325, 34935926, 35221239, 35239257}
2006;4;{36034186, 35927540, 36973004, 36677878}
2007;10;{38066881, 38573891, 38372484, 38814916, 38281993, 39061405, 38684465, 37905590, 38089725, 37998271}
2008;8;{38859621, 39269061, 40136837, 38523403, 39563729, 39792306, 39582996, 39185756}
2009;7;{41112672, 39580000, 40627395, 41279462, 40623210, 40281067, 40070928}
2010;6;{41651173, 42562089, 41479181, 42229720, 40992798, 42933855}
2011;17;{44833920, 45874305, 44626562, 44341027, 44859881, 41800621, 44483982, 46025007, 43825744, 44318577, 44626480, 43302675, 44675953, 44721080, 43756058, 44712412, 43926879}
2012;24;{44584199, 44504207, 44587793, 45995641, 46171417, 47335454, 44947105, 45953191, 46018994, 45773107, 46208057, 46652990, 45527750, 45421010, 46244439, 44629082, 46315742, 46831845, 45566822, 44983531, 45567853, 45971312, 45774201, 43975934}
2013;20;{47437697, 49714697, 48874002, 46796313, 48694313, 47665972, 48998334, 48171710, 47002697, 47830092, 47018188, 47018828, 47633105, 45023573, 48873178, 59601761, 47845997, 49547124, 47595768, 47713530}
2014;33;{50383366, 51488136, 49945995, 50150414, 50237208, 49879839, 52105253, 51901094, 50623143, 50621736, 49578284, 50382896, 51428661, 52021942, 51391671, 50973880, 52229947, 49123905, 50490050, 50771654, 48576970, 51060823, 49231577, 51841113, 51502303, 48877027, 51060452, 50776423, 50980199, 46832749, 51164657, 51264118, 51484664}
