String / string group: ['wind', 'wind power', 'wind turbine']

titles
year;number of occurrences;corresponding docdb family IDs
2013;326;{46727180, 48224269, 47798287, 46319636, 46319637, 48744478, 47722533, 48039981, 48638000, 48668720, 49082417, 48638005, 48638008, 46690375, 49623122, 49623123, 49623124, 47190101, 49623130, 49623131, 49623132, 49623133, 46852190, 49623134, 47913056, 49623135, 49623136, 48083043, 49623137, 49623140, 49623138, 49623139, 49623141, 49623142, 49623143, 46798960, 48742514, 47683713, 48742530, 47755399, 48521367, 47519897, 47997090, 48742564, 49498276, 48578729, 47018156, 49582257, 47753410, 47683792, 46727387, 48414941, 49987812, 48040170, 48523503, 48779529, 61618459, 47665453, 48638274, 47221059, 48279876, 48578885, 48167241, 47890763, 49715533, 49715537, 48279891, 48167254, 47049048, 48236917, 47710593, 47710597, 47044998, 44534152, 48279948, 49222030, 48288153, 48740761, 46801324, 46639559, 48652748, 48652752, 48429523, 48429525, 48134618, 47563230, 48982502, 48982507, 49758721, 46801412, 66998790, 49082900, 47632919, 48783895, 47831590, 47831591, 47995432, 47995433, 48085552, 49361457, 47614518, 48697923, 48697926, 47172191, 48081511, 47501931, 47850092, 49029742, 48429679, 49029748, 49511033, 49511034, 48171651, 49029775, 49160847, 48042642, 46758549, 46758550, 48167593, 47633068, 49005230, 47391411, 49259195, 49259199, 48702144, 49003205, 48366278, 49003208, 49003214, 47178452, 47667935, 49511142, 47076075, 47594224, 46832379, 48167679, 47555331, 46826247, 47291143, 48014097, 49711891, 47756052, 47756053, 49361686, 49711892, 49711894, 48167712, 44651304, 47323945, 46754606, 47530811, 47557437, 47555390, 48141123, 46832463, 49136465, 47827795, 48427867, 49161051, 48696166, 47002479, 47668091, 47008654, 49154959, 46762896, 46785449, 48798641, 49161138, 49621937, 47745992, 47745993, 47745995, 47745996, 48522201, 49005541, 49005542, 48571376, 47576054, 46384119, 46650369, 47502337, 48905228, 47475728, 47115289, 48696349, 46754857, 47914027, 47914028, 48464943, 48022596, 48022601, 47664202, 47828044, 47664206, 48901208, 44532825, 47891547, 48755803, 47991938, 46763154, 47426709, 47600792, 46027930, 46851244, 47744174, 47744181, 48141496, 46826702, 47912149, 46982358, 48467160, 49622232, 46982365, 49112288, 48798947, 48798948, 48905443, 47074535, 46320874, 48141557, 47389943, 48141560, 48905463, 49292537, 48141563, 48141564, 49292551, 47666454, 49669399, 49673496, 48043295, 45444417, 48575813, 48145734, 49669448, 49325390, 49116508, 47881566, 47883620, 47912293, 49116520, 47891824, 48280947, 48280948, 49112438, 47521145, 48571785, 48577936, 45092253, 48139690, 48469424, 49116602, 48698819, 47506885, 48799187, 46579165, 49624545, 46970352, 48612858, 49235451, 47601147, 48612860, 48612862, 48612863, 48612864, 48612870, 47599135, 47713832, 49579567, 47830580, 48668212, 48168509, 49714749, 47994432, 47748674, 48608838, 47603290, 47629923, 47623795, 48043644, 49739398, 49161875, 48610964, 47709851, 49645212, 49739421, 46208675, 47910565, 49639103, 48041666, 48703170, 48950986, 46851787, 48950988, 48172754, 46851799, 48043739, 46845664, 46845665, 47742702, 49258225, 47556347, 47709970, 47501080, 46354208, 49645346, 49293104, 46980917, 47605593, 48574297, 48574298, 49117022, 48572268, 47597454, 49584015, 45715344, 48574362, 48613285, 47833005, 48869298, 47712191, 48222160, 48222161, 49850344, 46651375, 47779832}
2014;228;{50884104, 47425035, 50387474, 50821650, 50825747, 51984404, 49999382, 51985433, 49948186, 50183195, 47989280, 50880545, 47010341, 50340906, 50340907, 51985450, 51233837, 50382896, 51623144, 51064562, 48692276, 51207220, 49912374, 49596472, 49237564, 52141116, 52141117, 50479679, 52141118, 52141119, 52141120, 52141121, 52004933, 51278067, 51843146, 51353163, 51843147, 52141131, 51140174, 50285656, 50824792, 50285658, 51792479, 49944162, 51419235, 49080934, 50069606, 52287592, 49958505, 49879147, 49958507, 51934317, 51206255, 51206256, 48485493, 51419253, 51657961, 50894970, 49447550, 47833215, 50623103, 46852225, 51618430, 49997955, 51728513, 50182790, 51419274, 48875659, 50434188, 50626699, 50731662, 50432145, 49117850, 51133594, 51981468, 50827421, 49912993, 52240547, 49782437, 50239655, 51742379, 50862764, 51209902, 51552431, 49881779, 50973881, 51569853, 51504318, 52007614, 48626369, 50340546, 50730690, 50979018, 49328331, 48224972, 49777357, 51020020, 50396885, 51623639, 51208408, 50067681, 50067682, 50067685, 50067687, 50067688, 50067689, 50067690, 50188008, 49918188, 50273791, 50681070, 50182895, 50452720, 50233585, 50732784, 50883315, 51020015, 51020018, 50067702, 50067703, 48672503, 50067704, 49161977, 50067705, 50067706, 51016445, 50153214, 51491577, 50910978, 49918723, 51064581, 51689740, 50884876, 51579661, 50337038, 50546446, 49777424, 49777425, 50085137, 50880275, 50546452, 50098453, 51485973, 49641756, 50098460, 50182941, 50182942, 50033440, 50033441, 52019485, 50486054, 51209512, 49150764, 50235181, 49778479, 50728243, 51468083, 51205946, 47598907, 50486080, 50114881, 50114370, 52007747, 49620295, 49111370, 51418954, 51997009, 47191892, 51579733, 50270039, 50487652, 50902372, 48832871, 49781611, 49781612, 51428210, 49781620, 50390902, 51206006, 51385720, 51419010, 50148739, 51356036, 50434439, 49999752, 48790409, 50024841, 50153353, 51934097, 50855828, 51731348, 50184607, 50624415, 52004258, 49998244, 50878886, 52022187, 49998252, 50382253, 50193329, 49515443, 50028986, 49989564, 50389439, 49782724, 48468422, 49880010, 49783243, 51536626, 51537362, 52110294, 48914396, 51625439, 49912288, 50928608, 48856549, 51226085, 51895274, 46508012, 51504620, 51504626, 48013811, 51984374, 50214391, 48782330, 51020796, 48430590, 49994239}
2015;236;{54766592, 52667397, 50543110, 50543111, 51726343, 52587526, 52775433, 52775436, 54191630, 53798927, 52624915, 53273626, 52890139, 53273627, 53185565, 52449310, 54013979, 54937633, 51905058, 51570220, 53185580, 52388910, 51063345, 54016561, 52781107, 53782583, 52624952, 52598842, 54287932, 51257406, 54323779, 49322568, 52665417, 49546314, 54168138, 54361675, 51626573, 52829265, 54833234, 52432979, 54537821, 49304158, 52825185, 51059300, 51628132, 50473065, 54070890, 53399147, 52629617, 51862133, 54322808, 53367418, 53367419, 52665475, 54321283, 51417221, 54345860, 52388999, 53488780, 52465293, 52991117, 52991118, 53250704, 50981012, 52446360, 49274522, 50979483, 52577948, 52672161, 52427938, 52669604, 54431909, 52020909, 53498036, 54069941, 51178678, 53522103, 53757112, 53678268, 54335676, 53269701, 53493957, 53877447, 54929608, 52827849, 52143306, 52742859, 52996297, 54431946, 50137810, 52809940, 52809941, 50396889, 53883097, 54944985, 52811997, 51982558, 53032670, 54193374, 54538464, 51982562, 53813986, 52622052, 52829925, 60201699, 54194927, 53493488, 54194928, 51167989, 52814072, 53028600, 53547257, 53547259, 54835451, 52760318, 53404414, 53171968, 49949953, 50639618, 52788489, 52585738, 52479756, 54935308, 53433102, 52479760, 53679889, 52776213, 51059479, 52448024, 53754135, 52448028, 53756700, 52343070, 53484830, 54332188, 52354855, 52354856, 54361898, 52823852, 52107565, 51392307, 52829491, 54707008, 52117827, 52427076, 53110086, 54610247, 51176265, 51494221, 53774672, 50483027, 53542227, 52426585, 54358367, 54358368, 54358369, 54358382, 54706545, 53173620, 54141302, 54141303, 53041530, 49510267, 54801279, 51483520, 53041028, 54339977, 50981771, 54368652, 51492345, 54555531, 54834576, 54326161, 53482898, 53542802, 54332306, 49237399, 52827545, 52827549, 51868063, 52648863, 51868065, 51868066, 53003683, 52461988, 53172643, 49447334, 51211689, 52391338, 52432297, 52626347, 53007273, 52626350, 53681583, 54326192, 52470706, 54368181, 52282808, 53045689, 54326202, 54500792, 52276669, 52693439, 54357952, 52693441, 52470726, 52623816, 52824520, 54833104, 49683921, 49920471, 54143961, 49080795, 52669411, 50933220, 53041123, 52574182, 53041124, 53482981, 52741099, 52293100, 52256749, 52603886, 52375023, 52775408, 53371373, 53477874, 53477875, 54239731, 54239732, 54833138, 53401079, 54872568, 52277753, 54938094, 54209023}
2016;172;{55439366, 55439367, 55439368, 57282056, 55631375, 57361938, 57217557, 52339237, 55854635, 55532588, 55696942, 57503279, 56564272, 55538226, 55754292, 58227256, 56738874, 55065659, 55792700, 56364605, 55065668, 53682757, 56084036, 54072907, 55909455, 55162453, 56165462, 55930461, 56789600, 56986209, 53546595, 53682787, 55073892, 56551523, 52684392, 56834153, 54238318, 57545326, 54238321, 56090740, 57282165, 55652982, 57006715, 55216764, 55217796, 56097929, 55911573, 54011031, 57587352, 55358617, 56009375, 53783728, 56108723, 53525178, 55851713, 56092353, 55749830, 53682889, 57542349, 53541583, 57129167, 55656146, 56615637, 56073435, 52824287, 55908577, 56879336, 54151405, 54150391, 55350523, 56116475, 56126203, 55485694, 56405245, 55857410, 56788226, 55701767, 55439116, 55022351, 57393936, 55521555, 56364313, 55924508, 56027933, 56283932, 53783327, 56110367, 56149279, 55464226, 56091427, 56149281, 56688927, 52434726, 56367401, 55064877, 56218925, 56311086, 53879600, 56530230, 55637303, 55524182, 55809366, 56498521, 56093532, 56121180, 57602909, 56091487, 56615268, 53404520, 55217000, 55746409, 55217005, 55217006, 55347567, 55485809, 55149939, 55299443, 56405367, 56074107, 56923516, 57169790, 55077762, 55914374, 53673863, 53673864, 56150920, 56621450, 55079308, 52444557, 55629715, 55078295, 56689047, 56744347, 55133087, 55524258, 55524260, 55524261, 56978341, 57392549, 55083432, 55524264, 55134640, 56566193, 55018420, 56513463, 56165304, 55968185, 57584055, 56492988, 56163267, 56798659, 55917509, 54478278, 55042502, 56126407, 56126408, 56163270, 57467334, 56692174, 56986064, 56800737, 55025123, 55064548, 56080364, 56091630, 56116214, 57281526, 52021240, 57503734, 55167482, 55216637, 57093118}
2017;263;{58099712, 59121668, 57730054, 60266502, 60326409, 56117770, 55646731, 58462735, 60481553, 59598355, 59980311, 58773529, 58159643, 58945052, 59850780, 57993763, 58410020, 59048997, 59385380, 57681447, 57681448, 59444777, 59743267, 59962919, 60482084, 58634287, 60088883, 58742836, 59966523, 57835068, 59788349, 55589950, 59976771, 58585157, 56101447, 58487367, 55237705, 59788361, 59643979, 58487373, 57686094, 59787854, 57834066, 57794132, 59055701, 59523669, 60411482, 56888924, 58218076, 59055709, 59563613, 59653727, 59256419, 59055716, 58631782, 56567399, 59270759, 58843753, 56134252, 59227248, 56855668, 59684980, 58408054, 59964022, 57542776, 54359672, 58763896, 60481146, 56682108, 58050689, 59055745, 59055747, 58187396, 59358852, 59275398, 59751553, 59055755, 58661516, 59964045, 55135375, 59055759, 59055761, 59089040, 59101331, 59055767, 57178271, 58522783, 59055776, 58691234, 56920745, 56119466, 56920746, 59729066, 59966123, 56693937, 59650739, 59871412, 57884341, 57608374, 58456757, 58464437, 59361463, 59998900, 60424886, 58010812, 57708736, 59774147, 59055816, 60784329, 60479690, 60662986, 59563725, 57983182, 59186383, 59678422, 58661591, 60161750, 60296923, 60212960, 57749730, 58040035, 57942761, 60579562, 59056878, 59514611, 57906422, 57389304, 58456313, 57757946, 58795774, 56694015, 56925953, 59398401, 57708297, 57863945, 57942794, 58693387, 59048716, 60325133, 56084240, 59966229, 59375384, 57714457, 57714458, 57885465, 60042524, 58240285, 60089343, 60477725, 60478236, 58547490, 59013922, 59108133, 59964197, 57984296, 59057452, 57834799, 57153328, 60150576, 59851572, 59190581, 59896630, 60202807, 59533115, 55486782, 54261054, 58239295, 60159296, 69143360, 59626311, 59900744, 60244297, 58707279, 57834320, 59575120, 60477776, 57983315, 59482963, 60325208, 54478170, 59851098, 59176285, 59453279, 58667872, 59684703, 59410274, 59811170, 60362084, 57942375, 57683304, 58034537, 58720103, 59684713, 59684714, 57630061, 59684718, 58397041, 59273077, 59963766, 55863159, 59963768, 57630074, 57833851, 58661759, 58691968, 58695553, 60784516, 58186630, 57942919, 57584008, 58604423, 58905992, 55066507, 69063560, 56855440, 57795473, 59715991, 58796954, 59624859, 60115867, 58707357, 59397534, 56551327, 58239392, 59787681, 60412829, 55759780, 58662309, 58224551, 57206192, 60249522, 58517939, 57899958, 58240438, 59013053, 56684479, 56113092, 57795525, 59013062, 60496328, 58778057, 57615822, 57730002, 59018201, 57730010, 59896283, 60411866, 59118045, 58797022, 58719199, 59852255, 60330977, 59635170, 57589225, 58508777, 57589228, 59769324, 60411887, 58760689, 59926001, 57982966, 57794040, 59963391}
2018;298;{62146560, 64270340, 64453130, 61196819, 64273431, 64270361, 62558747, 59856412, 61163039, 63523872, 62244385, 62556710, 62838825, 62558762, 59923499, 61633067, 65035818, 60202030, 63258670, 63106098, 61167163, 63852603, 58228285, 61241408, 63892034, 61002820, 61618757, 62598213, 63095366, 61521484, 63330382, 61622353, 63868498, 62024791, 62023770, 64024156, 63040093, 64659037, 63330402, 63520354, 60892773, 61831271, 58054250, 62488175, 62017649, 62019185, 64454258, 62343288, 63039611, 60301949, 61683837, 61281919, 58701442, 61559431, 61163144, 59569291, 62840460, 65035916, 57209486, 62908049, 57909909, 59258005, 59258006, 62908053, 61768345, 59381402, 62707354, 59859101, 61140127, 59930784, 59997347, 64130724, 59070629, 61751973, 63166630, 62636712, 62567596, 60021933, 62490285, 64438444, 61005488, 62706864, 61562034, 63469232, 62716597, 61903031, 62707386, 63919802, 63108285, 59269823, 62222527, 61017793, 62147269, 61971659, 62843085, 58054350, 64397517, 58009808, 62147280, 62488274, 62661841, 58410196, 61972181, 60327126, 62789333, 63013080, 61001433, 61687514, 63093976, 64105686, 64461013, 64871642, 63586017, 63170274, 62109411, 63713505, 59153126, 62893799, 60993256, 63169255, 58632938, 60953323, 64016618, 64455402, 59887343, 60452592, 61072113, 62636785, 62788848, 63674098, 64273136, 63793398, 63333111, 64396536, 59655929, 61902586, 61831422, 61015807, 63918336, 62488321, 64568066, 62389002, 57714443, 60996363, 62716683, 63582986, 60413201, 61765394, 62563091, 64567573, 57963286, 62018327, 62528279, 61161753, 63039480, 62712091, 63256856, 61300509, 63920412, 64659228, 62977824, 61562663, 62094632, 62904619, 61559084, 63584047, 63652658, 61971251, 58632190, 63675191, 62241592, 63107385, 64395577, 62177086, 58672447, 62768447, 63674175, 63106882, 64400704, 68465473, 63675209, 62708042, 59258190, 64794961, 61619027, 60958548, 62906709, 63712599, 62488408, 62997851, 63143260, 59811167, 63446880, 59811169, 59811171, 62020965, 59811176, 61005672, 61558632, 62020969, 61247340, 59811181, 63712618, 64566127, 63252848, 62076786, 57208179, 59811188, 63674228, 69140855, 62195070, 63915903, 62626176, 62976385, 63038338, 59811203, 63582085, 58547592, 58547593, 58672520, 60201355, 61731723, 59811213, 62909836, 61837711, 63448968, 63712143, 61012370, 57909652, 61071764, 63792533, 65034646, 61688216, 62907289, 63587737, 61101979, 62495646, 60382115, 64459175, 60912042, 61832107, 63674794, 64458669, 64460206, 63858095, 57570225, 64455091, 64655284, 63668150, 62146489, 61759418, 63330234, 63674297, 59656125, 60783037, 62063039, 61912512, 63318974, 64566203, 60673476, 61420485, 62813125, 60268487, 61056967, 62025159, 62241224, 62708170, 63091653, 63674822, 62625742, 62711247, 59745747, 62257619, 61911509, 60037590, 57211353, 60162013, 63582173, 59034594, 61623780, 61191141, 64015846, 64270310, 62026217, 62245353, 62447082, 61166060, 64459246, 62002159, 62146032, 62068209, 63585776, 62025207, 61685752, 64270331, 61258236, 61015550, 62783487}
2019;402;{62904321, 65433601, 62904327, 65525773, 66138130, 67897367, 65439770, 68847642, 66244636, 68026404, 61005864, 65275944, 66996265, 68284459, 68698156, 68853812, 65241154, 65724487, 68712519, 64051288, 65439834, 68982874, 67987549, 65146998, 60569720, 67143810, 64745606, 65900684, 68059276, 62750865, 65900689, 68294815, 65900708, 67985584, 66590897, 66590898, 66949307, 68622523, 65528011, 65439953, 67592408, 65808601, 65808603, 61581535, 68387049, 67985646, 66994418, 65001716, 67985654, 67985655, 68491517, 66590976, 65276166, 67985674, 65630475, 65276173, 65276174, 67985678, 67985682, 66668819, 67985686, 67082532, 66992428, 67623217, 65272117, 67987767, 67985721, 68901183, 67985729, 68237642, 66429269, 67391834, 67844442, 65352037, 66189669, 62751079, 65040748, 65235308, 67479921, 68059508, 68163964, 66429310, 63312258, 65321349, 61911430, 63312265, 66664849, 67985817, 67395998, 65003935, 67991968, 66281900, 66476464, 66994624, 66476487, 68766151, 68276686, 62783973, 68770277, 65817073, 65745394, 65745412, 65745413, 68770308, 65901065, 64332336, 65901109, 65901113, 66243133, 66601534, 65817151, 61024834, 66978377, 68239947, 66333266, 66476627, 62530137, 65438309, 68696689, 68698739, 65729145, 64950910, 67394183, 65634959, 65634960, 68698781, 65639071, 62091939, 67136171, 62816940, 62816941, 67619503, 66597552, 65200826, 62046909, 63998657, 61952706, 66659011, 61952708, 67066571, 64983760, 65274580, 67298006, 67713751, 67298010, 63638238, 63638239, 65364702, 67988201, 66949876, 67617527, 67068673, 66818826, 66949898, 65030930, 65411861, 65030934, 67066648, 66951968, 66816805, 63245095, 66994983, 64903985, 65041202, 64734013, 65723217, 66814802, 68105045, 66095961, 67478367, 68295538, 67478391, 67068794, 63404927, 67140479, 62528389, 65995654, 66818951, 62555033, 62063516, 66071453, 65526688, 66735010, 68383650, 62495669, 68293563, 65438656, 67068866, 68182987, 67392462, 68269017, 67843041, 64740323, 65084387, 61750246, 67492843, 63364080, 68633586, 65440757, 67068920, 67259398, 67109904, 68693014, 68293668, 67218480, 66634805, 65633340, 66995270, 61224014, 65182811, 66100316, 66174049, 65897571, 63857765, 63857766, 67908709, 68293738, 66817131, 66100345, 65000570, 68983952, 65576083, 63878311, 65954985, 67548337, 67906739, 66448569, 68383932, 65268954, 65436900, 62846190, 68840688, 65324274, 61873403, 65959163, 63857920, 65848594, 65015059, 65631512, 65631513, 67949853, 67984672, 63685921, 65439010, 68062506, 65525035, 65363261, 65033535, 66647362, 63794503, 65992007, 60185939, 65723735, 68062554, 65631589, 68697448, 68779372, 68294004, 65996152, 65324416, 68337024, 65631619, 64664965, 67845509, 66540936, 68294024, 68969871, 63014294, 59381158, 66432422, 67063210, 64267695, 66182577, 66182579, 63442364, 66768319, 67904976, 64110033, 66239964, 67626469, 63174119, 68806126, 68386287, 65527285, 65527288, 63079930, 65723900, 64308732, 64949758, 65910282, 68918805, 61971994, 65719841, 67063331, 68163120, 66934326, 61802044, 63047228, 68615747, 68058703, 65766994, 63491671, 66223704, 65525338, 63047264, 63014517, 63014518, 68615801, 67393146, 67808901, 67991174, 67767953, 66334357, 66629269, 65367703, 67548824, 64556698, 64556699, 66885275, 67763867, 67991195, 65525416, 64951981, 67573425, 59350715, 66539203, 66371269, 66819784, 66948812, 65525457, 66944727, 64741086, 68579038, 63014627, 63014628, 66096868, 62985962, 67487476, 64741112, 67847932, 67299072, 67393291, 66993936, 65996567, 65638175, 67057439, 64952103, 65632041, 65834804, 67391284, 67804989, 65529662, 65902400, 66676548, 64950086, 67391303, 68061003, 67391309, 67067725, 59520846, 67385165, 67067728, 65279828, 67479380, 66819926, 67807062, 66819928, 69052251, 65019741, 68534112, 66408292, 66819941, 66819943, 60766057, 62986099, 68769658, 63965052, 61132683, 63491981, 68061069, 65015719, 67897262, 67911598, 63557552, 63209402, 68419522, 67137486, 66138063, 67137487, 65408984, 63080409, 66138074, 65015771, 66170841, 65632221, 68536281, 66996194, 67549155, 66996206, 61972470, 61972471, 61972473}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;20;{19561093, 23437061, 17282708, 14341783, 17407660, 19600306, 17803193, 23489466, 18257090, 16510790, 15706623, 16584908, 22483290, 3891546, 14763751, 9544808, 12930282, 21644397, 15141367, 22699903}
2001;20;{17882888, 23999255, 19614745, 24162858, 19633965, 19600304, 25739187, 23368379, 24660549, 24037324, 18653393, 24833753, 47998560, 18613729, 18645861, 9548006, 8851187, 19668468, 18557438, 17251327}
2002;9;{19704071, 19706857, 24803082, 26605546, 19703023, 4567892, 24643701, 18839286, 25507829}
2003;17;{19183713, 26716674, 19715460, 29595300, 27655495, 27785991, 29727751, 28036205, 29547822, 27800655, 19717169, 19107251, 19188919, 50108793, 22017978, 28449947, 19022492}
2004;10;{33042432, 29774946, 32708364, 32310865, 32321745, 32821236, 33308122, 30771067, 33300188, 30768061}
2005;9;{34375650, 35506212, 34587717, 37115879, 34595116, 35424494, 34912819, 36205622, 34709055}
2006;24;{37114755, 35985414, 36260240, 37396753, 35542421, 36650646, 37734040, 36739995, 35647261, 36745506, 37107874, 34977075, 37115315, 36676941, 36972124, 37435106, 34973796, 36587753, 37030764, 37431538, 36888948, 37482229, 35541115, 36205950}
2007;28;{37906051, 38172675, 37429260, 38166028, 36699154, 51265437, 38009758, 37943839, 37836576, 38179870, 38038051, 37609769, 38110378, 38180017, 36603074, 37951687, 38115278, 38022103, 38683354, 38477787, 38624603, 37913053, 38821221, 37709038, 37712110, 38833263, 38655734, 38123258}
2008;50;{39684869, 40135814, 39372299, 40135307, 42049547, 39364622, 39956113, 38918550, 39186841, 39165980, 39186848, 39186850, 39187880, 39268009, 39224234, 39794985, 39092396, 39268268, 38180270, 39644592, 39152049, 39447346, 39710128, 40031668, 39831100, 39970367, 40074693, 38957259, 39528527, 38920656, 39186768, 39738320, 39777619, 39621332, 39838164, 38997078, 40002767, 39497179, 39185756, 40139486, 39681762, 39810146, 41162339, 39275623, 39186665, 59846907, 39708402, 38963061, 39930230, 38434811}
2009;66;{40579328, 40912003, 50980867, 39735302, 40452743, 40261000, 40265096, 40510984, 40625931, 40718860, 40579469, 40433422, 40845961, 41152906, 41240849, 40281234, 40259987, 40510994, 40510995, 40637845, 40281623, 41266321, 41402650, 41016604, 41063964, 40591774, 41420958, 41416352, 40338467, 40845347, 40985512, 40823721, 40407210, 41417259, 42062632, 40387122, 40225972, 41022390, 40872247, 40885304, 40468409, 40680123, 40259900, 40326084, 40792009, 41448649, 40304209, 41509458, 40985559, 40901208, 39938138, 41215835, 40885213, 41212768, 41416674, 41060707, 40677990, 40332136, 40676714, 40341227, 41255541, 40622198, 41133559, 40886137, 40490108, 40678909}
2010;145;{42284034, 42769411, 43308548, 41797640, 42727947, 43219468, 42663955, 43264022, 42183715, 42710051, 42370091, 42342447, 43222575, 41112632, 42197052, 41724993, 42230337, 42780738, 42286662, 42059339, 43298892, 43297359, 41401938, 40847955, 41665109, 42145365, 42268246, 42783321, 42733163, 41319534, 42225262, 42306682, 41665664, 42979458, 40352393, 43353740, 40846990, 42988178, 43054739, 42116763, 42463905, 40532642, 43013282, 42560678, 42272423, 42315432, 42781862, 42108084, 43222200, 42665149, 40436421, 43308742, 42244808, 43526347, 43306706, 41571542, 42006233, 42221786, 40841435, 42006236, 42036955, 42718430, 42289891, 41508069, 42244838, 43529960, 42606827, 43356908, 42108142, 43353328, 42541810, 43067636, 41627381, 43026680, 41727739, 42338046, 40846081, 42982152, 40792856, 43013405, 41202471, 42982192, 41435441, 42560826, 42495295, 42733377, 42038594, 41560901, 43432262, 42116423, 42559303, 42287433, 42082644, 43068758, 41501530, 42400613, 42245485, 42040687, 41809273, 42131835, 43126657, 42982790, 41529737, 42736523, 42737040, 41786260, 54638484, 41786262, 42313116, 42059677, 42828191, 42828193, 42780580, 42083756, 42828207, 41832880, 43069871, 43512760, 42828217, 42287547, 42083774, 43308478, 42056641, 41335236, 41667012, 42106310, 42164168, 42265033, 42989000, 48578002, 40834521, 42434526, 43299294, 42045920, 41528295, 42235367, 41559019, 41571820, 42136556, 42173932, 42353643, 43305451, 43085301, 42168823, 42244607}
2011;233;{44195328, 43447810, 44068357, 44914181, 44068364, 44355598, 44367888, 43857428, 44167188, 44203028, 44305946, 43875870, 45115424, 44066337, 43402788, 44787748, 44903973, 43799597, 45067310, 44483123, 44844087, 44244026, 44065851, 43448382, 43500096, 44475969, 44799040, 44367427, 43906629, 44174918, 44195910, 43413576, 44174920, 43880010, 44174921, 44195912, 44195915, 44911182, 43466833, 44911185, 44319827, 44174424, 44708953, 44307034, 44812888, 43733086, 43795042, 44166754, 43232356, 43383396, 43755110, 43448423, 43781221, 44142180, 44226153, 44258402, 44115564, 44148845, 44434533, 44542059, 44563567, 43887729, 44626032, 43499123, 42984052, 44152438, 43560058, 43910784, 43448457, 43588747, 43629202, 43629203, 44353177, 44464796, 43881117, 43533984, 44306080, 44319905, 44786341, 44069545, 43243183, 43608752, 42931889, 44068018, 44082353, 44833975, 44710585, 45022395, 44342464, 44834497, 43495621, 44291782, 42271943, 43334344, 44291783, 43384011, 43526348, 41572557, 43606731, 44586194, 43449046, 43900631, 44278998, 44143833, 43478235, 44061918, 43524831, 45098718, 44293862, 43836650, 65625323, 44626156, 44114671, 44563186, 44172019, 45004533, 43599095, 44258043, 45371132, 43974397, 43410687, 44483845, 42235147, 43925771, 43821325, 43781390, 44278271, 43086097, 43244817, 43576593, 43616530, 43881241, 44226332, 43881245, 44268317, 45105950, 44370211, 44146470, 44585254, 42668328, 44370220, 44746030, 43429679, 44167473, 44507445, 43402040, 44834106, 44899131, 43859776, 46603072, 43525954, 44720450, 44899141, 42988358, 42079047, 43623754, 44144971, 43604813, 42790737, 44912466, 44912472, 45347672, 44066140, 44066141, 44542812, 43449183, 43528543, 41736033, 43991398, 50877802, 44439406, 44257649, 44216691, 43448182, 44246905, 43496314, 44508537, 44509562, 46314874, 43544447, 44760449, 43649922, 43878786, 44120966, 43765641, 44904331, 43900813, 44278669, 43799440, 42753426, 44168594, 44563858, 43852693, 44146072, 43878813, 43586467, 44491172, 43901862, 42983854, 44652464, 44353969, 43812790, 41698231, 44763583, 43544512, 44763584, 44971971, 44130762, 44356043, 43627981, 43430863, 43920850, 44357587, 45359576, 43068893, 43299295, 43779552, 45351903, 44194277, 44121574, 43413479, 44560872, 44347881, 43826666, 42988523, 44258794, 44974061, 50862571, 43586031, 43586032, 45091830, 44395513, 43852799}
